"","ID","School","SFR","Small.Classes","Big.Classes","Graduation.Rate","Freshman.Retention","Giving","Special"
"49",49,"University of Louisiana—Monroe",18,0.3,0.13,0.3,0.72,0.05,"No"
"50",50,"University of Louisville",18,0.25,0.12,0.49,0.78,0.12,"No"
"51",51,"Marshall University",20,0.38,0.04,0.44,0.71,0.1,"No"
"52",52,"Miami University—Oxford",17,0.32,0.12,0.8,0.89,0.16,"No"
"53",53,"Michigan State University",16,0.23,0.21,0.77,0.91,0.14,"No"
"54",54,"Middle Tennessee State University",21,0.32,0.07,0.45,0.81,0.06,"No"
"55",55,"Mississippi State University",20,0.38,0.14,0.58,0.83,0.17,"No"
"56",56,"University of Maryland—College Park",18,0.35,0.16,0.81,0.94,0.1,"No"
"57",57,"University of Massachusetts—Amherst",19,0.45,0.17,0.69,0.87,0.11,"No"
"58",58,"University of Memphis",15,0.36,0.11,0.4,0.76,0.06,"No"
"59",59,"University of Miami",11,0.53,0.07,0.8,0.9,0.17,"No"
"60",60,"University of Michigan—Ann Arbor",15,0.48,0.16,0.9,0.96,0.15,"No"
"61",61,"University of Minnesota—Twin Cities",21,0.38,0.19,0.7,0.89,0.13,"No"
"62",62,"University of Missouri",20,0.47,0.15,0.69,0.85,0.16,"No"
"63",63,"New Mexico State University",20,0.45,0.1,0.45,0.76,0.06,"No"
"64",64,"North Carolina State University—Raleigh",18,0.3,0.2,0.71,0.9,0.11,"No"
"65",65,"Northern Illinois University",17,0.44,0.12,0.56,0.75,0.06,"No"
"66",66,"Northwestern University",7,0.75,0.06,0.94,0.97,0.3,"No"
"67",67,"United States Naval Academy",9,0.56,0.001,0.89,0.97,0.21,"No"
"68",68,"University of Nebraska—Lincoln",20,0.38,0.14,0.64,0.84,0.22,"No"
"69",69,"University of Nevada—Las Vegas",22,0.25,0.18,0.41,0.76,0.05,"No"
"70",70,"University of Nevada—Reno",27,0.33,0.16,0.5,0.78,0.09,"No"
"71",71,"University of New Mexico",22,0.4,0.14,0.44,0.78,0.07,"No"
"72",72,"University of North Carolina—Chapel Hill",14,0.37,0.13,0.9,0.97,0.22,"No"
"73",73,"University of North Texas",23,0.29,0.2,0.48,0.76,0.05,"No"
"74",74,"University of Notre Dame",12,0.55,0.1,0.96,0.98,0.41,"Yes"
"75",75,"Ohio State University—Columbus",19,0.32,0.2,0.78,0.93,0.15,"No"
"76",76,"Ohio University",19,0.42,0.11,0.65,0.8,0.08,"No"
"77",77,"Oklahoma State University",19,0.39,0.12,0.59,0.79,0.15,"No"
"78",78,"Oregon State University",25,0.36,0.2,0.6,0.82,0.12,"No"
"79",79,"University of Mississippi",18,0.46,0.13,0.59,0.8,0.13,"No"
"80",80,"University of Oklahoma",17,0.41,0.11,0.64,0.83,0.19,"No"
"81",81,"University of Oregon",20,0.37,0.17,0.68,0.84,0.13,"No"
"82",82,"Pennsylvania State University—University Park",17,0.39,0.15,0.85,0.93,0.21,"No"
"83",83,"Purdue University—West Lafayette",14,0.37,0.17,0.69,0.87,0.19,"No"
"84",84,"Rice University",6,0.69,0.08,0.92,0.97,0.32,"No"
